claim_id,report,location,claim_class,claim,source,access_level,independent_tier,verdict,severity,transferability,corrected_wording
A-CLAUSE-0550,Antigravity review,Question 5; L550,published finding,"- **Physiological Adaptation Rates:** Schoenfeld et al. (2016) [Tier A; PMID: 27102172]; Suchomel et al. (2018) [Tier D; PMID: 29372481]. In intermediate-to-advanced lifters, true strength gains average **$0.25\% - 0.75\%$ per week** (or $\sim 3\% - 6\%$ across an entire 8- to 12-week mesocycle).",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0551,Antigravity review,Question 5; L551,inference/system fact,- **The Paradox:**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0552,Antigravity review,Question 5; L552,derived calculation,$$\text{Single-Session } \text{MDC}_{95} \approx 2.77 \times 4.2\% \approx 11.6\%$$,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,AUDITOR-DERIVED—NOT PUBLISHED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0553,Antigravity review,Question 5; L553,derived calculation,$$\text{Weekly True Physiological Adaptation } (\Delta_{\text{true}}) \approx 0.50\%$$,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,AUDITOR-DERIVED—NOT PUBLISHED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0554,Antigravity review,Question 5; L554,derived calculation,$$\text{Signal-to-Noise Ratio (Single Session)} = \frac{0.50\%}{4.2\%} \approx 0.12 \ll 1.0$$,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,AUDITOR-DERIVED—NOT PUBLISHED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0555,Antigravity review,Question 5; L555,inference/system fact,"Single-session measurement noise ($\sim 4.2\% - 10\%$) is **8 to 20 times larger** than the true weekly adaptation signal. Therefore, **any single-session change (e.g., +2.5 kg or +1 rep) is statistically indistinguishable from noise.**",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0558,Antigravity review,Question 5; L558,inference/system fact,Noise Floor vs. Adaptation Signal:,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0559,Antigravity review,Question 5; L559,inference/system fact,|=============================| Single Session MDC95 (11.6%),citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0560,Antigravity review,Question 5; L560,inference/system fact,|====| Single Session SEM (4.2%),citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0561,Antigravity review,Question 5; L561,inference/system fact,|=   | Weekly True Adaptation (0.5%),citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0568,Antigravity review,Question 5; L568,inference/system fact,"Because single-session observations are dominated by noise, measurements must be aggregated over time to reduce the standard error of the estimate.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0571,Antigravity review,Question 5; L571,derived calculation,"Assuming independent, identically distributed session errors with noise standard deviation $\sigma_{\text{noise}} = \text{SEM} \approx 4.2\%$, the standard error of a sample mean over $n$ independent sessions is:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,AUDITOR-DERIVED—NOT PUBLISHED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0572,Antigravity review,Question 5; L572,derived calculation,$$\sigma_{\text{mean}} = \frac{\text{SEM}}{\sqrt{n}}$$,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,AUDITOR-DERIVED—NOT PUBLISHED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0573,Antigravity review,Question 5; L573,inference/system fact,The Minimal Detectable Change across a rolling window of $n$ sessions ($\text{MDC}_{\text{window}}$) is:,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0574,Antigravity review,Question 5; L574,inference/system fact,$$\text{MDC}_{\text{window}} = \frac{2.77 \times \text{SEM}}{\sqrt{n}}$$,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0575,Antigravity review,Question 5; L575,inference/system fact,"To reliably detect a true cumulative adaptation $\Delta_{\text{true}}$ at the 95% confidence level, we require:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0576,Antigravity review,Question 5; L576,inference/system fact,$$\text{MDC}_{\text{window}} \le \Delta_{\text{true}} \implies \sqrt{n} \ge \frac{2.77 \times \text{SEM}}{\Delta_{\text{true}}} \implies n \ge \left( \frac{2.77 \times 4.2\%}{\Delta_{\text{true}}} \right)^2$$,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0578,Antigravity review,Question 5; L578,inference/system fact,For a mesocycle adaptation $\Delta_{\text{true}} = 3.5\%$:,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0579,Antigravity review,Question 5; L579,derived calculation,$$n \ge \left( \frac{11.63\%}{3.5\%} \right)^2 = (3.32)^2 \approx 11 \text{ recorded sessions}$$,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,AUDITOR-DERIVED—NOT PUBLISHED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0582,Antigravity review,Question 5; L582,inference/system fact,+---------------------------------------------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0583,Antigravity review,Question 5; L583,inference/system fact,|                        OPERATIONAL PERSISTENCE WINDOW REQUIREMENTS                                |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0584,Antigravity review,Question 5; L584,inference/system fact,+------------------+-------------------+--------------------+-------------------+-------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0585,Antigravity review,Question 5; L585,inference/system fact,| Lifter Level     | Weekly Adaptation | Mesocycle Delta    | Sessions Required | Required Window   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0586,Antigravity review,Question 5; L586,inference/system fact,+------------------+-------------------+--------------------+-------------------+-------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0587,Antigravity review,Question 5; L587,inference/system fact,| Novice           | 1.5% – 2.5% / wk  | 8% – 12%           | 3 – 5 sessions    | 2 – 3 weeks       |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0588,Antigravity review,Question 5; L588,inference/system fact,| Intermediate     | 0.5% – 1.0% / wk  | 4% – 6%            | 6 – 9 sessions    | 3 – 5 weeks       |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0589,Antigravity review,Question 5; L589,inference/system fact,| Advanced / Elite | 0.1% – 0.3% / wk  | 1.5% – 3.0%        | 15 – 30 sessions  | 8 – 16 weeks      |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0590,Antigravity review,Question 5; L590,inference/system fact,+------------------+-------------------+--------------------+-------------------+-------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0594,Antigravity review,Question 5; L594,inference/system fact,"1. **Exponentially Weighted Moving Average (EWMA):** A persistent smoothing window (half-life of 3–5 weeks) dampens acute daily spikes (sleep loss, diurnal shifts) while tracking underlying mechanical capacity.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0595,Antigravity review,Question 5; L595,inference/system fact,"2. **Compounded Submaximal e1RM Error:** In submaximal sets with RPE, error in rep counts ($\pm 1-2$ reps) and RPE ($\pm 1$ unit) cascades into the formula, inflating single-session e1RM SEM to **$6.5\% - 8.5\%$** and pushing single-session $\text{MDC}_{95}$ to **$18\% - 24\%$**.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0602,Antigravity review,Question 5; L602,inference/system fact,"1. **Displaying smoothed multi-week rolling trendlines** (e.g., 4- to 6-week EWMA) with visual confidence intervals representing the $\pm \text{MDC}_{95}$ noise band.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0603,Antigravity review,Question 5; L603,inference/system fact,2. **Confirming a true progression milestone only when performance remains elevated above the prior baseline for $\ge 6-10$ consecutive exposures across $\ge 3-4$ weeks.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0604,Antigravity review,Question 5; L604,inference/system fact,3. **Explicitly educating the user that daily fluctuations of $\pm 5-10\%$ represent expected biological noise.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0607,Antigravity review,Question 5; L607,inference/system fact,1. **Declaring strength progression or regression based on 1 or 2 individual workouts.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0608,Antigravity review,Question 5; L608,inference/system fact,2. **Automatically increasing prescribed loads based on a single high-performing session.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0609,Antigravity review,Question 5; L609,inference/system fact,3. **Triggering program deloads or intensity demotions based on a single decreased-performance workout.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0617,Antigravity review,Question 6; L617,inference/system fact,"When an unsupervised athlete is presented with continuous numerical quantification, their psychological relationship with the activity fundamentally transforms:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0619,Antigravity review,Question 6; L619,published finding,- **The Hidden Cost of Personal Quantification:** Etkin (2016) [Tier B−; DOI: 10.1093/jcr/ucv095] conducted 6 controlled experimental trials into the behavioural consequences of self-tracking ($N=80-200+$ per experiment):,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0620,Antigravity review,Question 6; L620,inference/system fact,"- *Findings:* While tracking daily output (steps, exercise volume) increased physical volume in the short term, it **systematically reduced intrinsic motivation** ($p < 0.01$, Cohen's $d = 0.45 - 0.62$). Quantification reframes an autotelic, enjoyable activity into ""work"" or an external task. Once tracking was removed or feedback stalled, individuals showed marked declines in task persistence and enjoyment compared to unquantified controls.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0621,Antigravity review,Question 6; L621,published finding,"- **Dataveillance, Algorithmic Anxiety, and Alienation:** Lupton (2016) [Tier C; ISBN: 9781509500604] documented that displaying real-time quantified scores creates ""algorithmic anxiety"" and interoceptive alienation. Users prioritize digital numbers over internal somatic cues (fatigue, joint pain, stiffness), feeling guilt when biological readiness does not match the app's curve.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0627,Antigravity review,Question 6; L627,published finding,"- **Goodhart's Law (Goodhart, 1975)** [Tier D]: *""When a measure becomes a target, it ceases to be a good measure.""*",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0628,Antigravity review,Question 6; L628,published finding,"- **Campbell's Law (Campbell, 1979)** [Tier D]: *""The more any quantitative social indicator is used for social decision-making, the more subject it will be to corruption pressures and the more apt it will be to distort and corrupt the processes it is intended to monitor.""*",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0631,Antigravity review,Question 6; L631,inference/system fact,Mechanism of Metric Corruption (Goodhart's Law in Strength Apps):,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0632,Antigravity review,Question 6; L632,inference/system fact,App Promotes Metric (e.g. Volume-Load / e1RM),citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0633,Antigravity review,Question 6; L633,inference/system fact,──> Lifter Optimizes Proxy,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0634,Antigravity review,Question 6; L634,inference/system fact,──> Truncates ROM / Games RPE / Adds Junk Volume,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0635,Antigravity review,Question 6; L635,inference/system fact,"──> App Records ""Progress"" while Biological Stimulus Degrades & Injury Risk Spikes",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0639,Antigravity review,Question 6; L639,inference/system fact,"1. **Range-of-Motion (ROM) Truncation:** When load or e1RM is tracked as the primary metric, unsupervised lifters unconsciously cut depth on squats, bounce bench presses, or hyperextend the lumbar spine on deadlifts.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0640,Antigravity review,Question 6; L640,inference/system fact,"2. **RPE / RIR Falsification (Gaming the Formula):** If e1RM is calculated from RPE, lifters underreport RPE (entering RPE 8 when true effort was RPE 10) to force the app to display a higher e1RM.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0641,Antigravity review,Question 6; L641,inference/system fact,"3. **Junk Volume Accumulation:** If total volume-load is rewarded, lifters accumulate low-effort sets far from failure (e.g., 5 sets of 15 at 40% 1RM) that maximize tonnage while providing negligible stimulus.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0647,Antigravity review,Question 6; L647,published finding,"- **Epidemiology of Resistance Training Injuries:** Keogh & Winwood (2017) [Tier A; PMID: 27328853, DOI: 10.1007/s40279-016-0575-0]: Across weight-training sports, injury incidence ranges from **1.0 to 4.4 injuries per 1,000 hours of training**, primarily overuse tendinopathies and muscle strains from rapid load spikes.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0648,Antigravity review,Question 6; L648,published finding,"- **Prevalence in Heavy Lifters:** Strömbäck et al. (2018) [Tier B; PMID: 29785405, DOI: 10.1177/2325967118771016] ($n=104$ powerlifters): **70% were currently injured**, and **87% reported an injury within the past 12 months** (lumbopelvic spine 44%, shoulder 36%, knee 21%). Chasing scheduled load increases during acute fatigue was identified as a primary proximate cause.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0649,Antigravity review,Question 6; L649,published finding,"- **Biomechanical Failure:** Aasa et al. (2017) [Tier A; PMID: 27707741, DOI: 10.1136/bjsports-2016-096037]: Biomechanical failure under near-maximal loads typically occurs when technical integrity breaks down (lumbar flexion under axial compressive load).",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0655,Antigravity review,Question 6; L655,published finding,"- **Real-World Mobile Health App Retention:** Baumel et al. (2019) [Tier B−; PMID: 31573916, DOI: 10.2196/14567] ($>100,000$ users across 93 apps): **Median 30-day user retention was only 3.3% to 4.0%**, with daily active minutes dropping by $>80\%$ within 14 days. Apps imposing high data logging friction or aggressive performance pressure experienced the steepest drop-offs.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0656,Antigravity review,Question 6; L656,published finding,"- **Compulsive Exercise & Psychological Morbidity:** Simpson & Mazzeo (2017) [Tier B; PMID: 28214452, DOI: 10.1016/j.eatbeh.2017.02.002] ($n=493$ young adults): Quantified fitness tracking was significantly associated with elevated **exercise dependence and eating disorder symptomatology** ($F = 12.42, p < 0.001$), driven by obsessive score maintenance.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0657,Antigravity review,Question 6; L657,published finding,"- **Gamification Fatigue & Reactance:** Kersten-van Dijk et al. (2017) [Tier B−; DOI: 10.1080/07370024.2016.1276456]: Superficial gamification (streaks, badges) induces extrinsic compliance that burns out. Inevitable streak breaks lead to psychological reactance and app abandonment.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0664,Antigravity review,Question 6; L664,inference/system fact,"1. **Neutral, low-friction descriptive logging** that functions as an objective training diary reflecting entered data without moralizing feedback.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0665,Antigravity review,Question 6; L665,inference/system fact,2. **Delivering qualitative movement consistency reminders** emphasizing that consistent range of motion and cadence are prerequisite to valid logging.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0666,Antigravity review,Question 6; L666,inference/system fact,"3. **Supporting flexible, non-punitive workout scheduling** to prevent streak-breaking anxiety and user attrition.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0669,Antigravity review,Question 6; L669,inference/system fact,1. **Gamifying daily PR streaks or rewarding consecutive-session load increases.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0670,Antigravity review,Question 6; L670,inference/system fact,"2. **Creating composite progression scores or gamified ""Strength Points"".**",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0671,Antigravity review,Question 6; L671,inference/system fact,"3. **Displaying punitive feedback (red down-arrows, failure badges) on sub-baseline workouts.**",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0679,Antigravity review,Question 7; L679,inference/system fact,"In an offline mobile app without wearable sensors, linear transducers, or force plates, candidate progression axes must satisfy two criteria:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0680,Antigravity review,Question 7; L680,inference/system fact,1. **Physiological Validity:** Reflects genuine neuromuscular overload.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0681,Antigravity review,Question 7; L681,published finding,2. **Measurement Reliability (Tier B− Psychometrics):** Can be self-reported by an unsupervised lifter with low intra-individual error and high test-retest reliability without cognitive friction.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0684,Antigravity review,Question 7; L684,inference/system fact,+-----------------------------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0685,Antigravity review,Question 7; L685,inference/system fact,|               NON-LOAD AXIS EVALUATION MATRIX (MOBILE APP CONSTRAINTS)             |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0686,Antigravity review,Question 7; L686,inference/system fact,|                                                                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0687,Antigravity review,Question 7; L687,inference/system fact,|  AXIS                     MEASURABILITY      PHYSIOLOGICAL VALIDITY   STATUS      |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0688,Antigravity review,Question 7; L688,inference/system fact,|  -------------------------------------------------------------------------------  |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0689,Antigravity review,Question 7; L689,inference/system fact,|  1. Weekly Hard Sets      HIGH (Binary)      HIGH (Dose-Response)     VALID       |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0690,Antigravity review,Question 7; L690,inference/system fact,|  2. Leverage Tiers        HIGH (Categorical) HIGH (Biomechanical)     VALID       |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0691,Antigravity review,Question 7; L691,inference/system fact,|  3. Reps to Failure       HIGH (Count)       HIGH (Within-Tier)       VALID       |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0692,Antigravity review,Question 7; L692,inference/system fact,|  4. Inter-Set Rest/Density MODERATE (Timer)  LOW/CONTRAINDICATED      REJECTED    |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
